Variables,English,English-UK,English-AU,Japanese,China-Simplifield,China-Traditional,Korean,Vietnamese
appName,Love Diary,Love Diary,Love Diary,愛の日記,爱情日记,愛情日記,사랑 일기,Nhật ký tình yêu
tabBarItemPlanner,Anniversary,Anniversary,Anniversary,記念日,周年纪念日,週年紀念日,기념일,Kỷ Niệm
tabBarItemCalendar,Diary,Diary,Diary,日記,日记,日記,일기,Nhật Ký
diaryScreenTitle,Diary,Diary,Diary,日記,日记,日記,일기,Nhật Ký
tabBarItemPhotos,Gallery,Gallery,Gallery,ギャラリー,画廊,畫廊,갤러리,Thư Viện
tabBarItemSettings,Settings,Settings,Settings,設定,设定值,設定值,설정,Cài Đặt
tabBarItemEvents,Events,Events,Events,イベント,大事记,大事記,이벤트,Sự kiện
ok,OK,OK,OK,OK,好的,好的,확인,Đồng ý
yes,Yes,Yes,Yes,はい,是的,是的,예,Đúng
cancel,Cancel,Cancel,Cancel,キャンセル,取消,取消,취소,Hủy bỏ
delete,Delete,Delete,Delete,削除,删除,刪除,지우다,Xóa
askSavePhotoPermission,This app requires the permisson to use iOS Photos to save images to your library. Please change the permission in the Settings app.,This app requires the permisson to use iOS Photos to save images to your library. Please change the permission in the Settings app.,This app requires the permisson to use iOS Photos to save images to your library. Please change the permission in the Settings app.,画像を端末に保存するために、写真機能へのアクセス権限を許可する必要があります。アプリの設定で設定を変更してください。,此应用需要许可才能使用iOS照片将图像保存到您的媒体库。请在“设置”应用中更改权限。,此應用需要使用iOS照片將圖像保存到您的圖片庫的權限。請在“設置”應用中更改權限。,이 앱은 iOS 사진을 사용하여 이미지를 라이브러리에 저장할 수있는 권한이 필요합니다. 설정 앱에서 권한을 변경하세요.,Ứng dụng này cần sử dụng chức năng Ảnh của iOS để lưu ảnh vào thiết bị của bạn. Bạn có thể điều chỉnh quyền trong Cài Đặt
askPhotoPermission,"Please allow access to \""All Photos\"" on the settings app to insert photos from your library.","Please allow access to \""All Photos\"" on the settings app to insert photos from your library.","Please allow access to \""All Photos\"" on the settings app to insert photos from your library.",写真を選択するために、このアプリの設定で「写真」の項目を「すべての写真」にしてアクセスを許可してください。,请允许访问设置应用程序上的 \“所有照片”\ ，以插入图库中的照片。,請允許訪問設置應用程序上的 \“所有照片”\，以插入圖庫中的照片。,"라이브러리의 사진을 삽입하려면 설정 앱의 \""모든 사진 \""에 대한 액세스를 허용하세요.","Vui lòng cấp quyền \""Tất cả ảnh\"" ở phần Cài đặt để thêm ảnh từ thư viện ảnh của bạn"
askCameraPermission,Cannot access the camera. Please grant access to the camera in the Settings app.,Cannot access the camera. Please grant access to the camera in the Settings app.,Cannot access the camera. Please grant access to the camera in the Settings app.,カメラにアクセスできません。設定アプリでカメラへのアクセス権を付与してください。,无法访问相机。请在“设置”应用中授予对摄像机的访问权限。,無法訪問相機。請在“設置”應用中授予對攝像機的訪問權限。,카메라에 액세스 할 수 없습니다. 설정 앱에서 카메라에 대한 액세스 권한을 부여하세요.,Không thể sử dụng Máy Ảnh. Xin hãy cấp quyền truy cập trong phần Cài Đặt.
openSettingApp,Open Setting app,Open Setting app,Open Setting app,設定アプリを開く,开启设定应用程式,開啟設定應用程式,설정 앱 열기,Mở trong ứng dụng cài đặt
reachLimitImageError,You have reached the limit of adding photos,You have reached the limit of adding photos,You have reached the limit of adding photos,写真の追加制限に達しました,您已达到添加照片的限制,您已達到添加照片的限制,사진 추가 한도에 도달했습니다.,Bạn đã đến giới hạn thêm ảnh
done,Done,Done,Done,完了,完毕,完畢,끝난,Xong
galeryScreenTitle,Gallery,Gallery,Gallery,ギャラリー,画廊,畫廊,갤러리,Thư Viện
settingScreenTitle,Settings,Settings,Settings,設定,设定值,設定值,설정,Cài Đặt
name,Name,Name,Name,名前,姓名,姓名,이름,Tên
icloudSettingTitle,Icloud And Backup,Icloud And Backup,Icloud And Backup,Icloudとバックアップ,icloud和备份,icloud和備份,Icloud 및 백업,Icloud và Sao lưu
diaryFontSettingTitle,Diary Font Interface,Diary Font Interface,Diary Font Interface,日記フォントインターフェース,日记字体界面,日記字體界面,일기 글꼴 인터페이스,Giao diện phông chữ nhật ký
removeAdsSettingTitle,Remove Ads,Remove Ads,Remove Ads,広告を削除,移除广告,移除廣告,광고를 제거하다,Xóa quảng cáo
restoreIAPSettingTitle,Restore Purchase,Restore Purchase,Restore Purchase,購入商品を復元する,恢复购买,恢復購買,구매 복원,Khôi phục mua hàng
themeSettingTitle,Themes,Themes,Themes,テーマ,主题,主題,테마,Chủ đề
passcodeSettingTitle,Passcode,Passcode,Passcode,パスコード,密码,密碼,비밀번호,Mật mã
languageSettingTitle,Languages,Languages,Languages,言語,语言能力,語言能力,언어,Ngôn ngữ
dataExportSettingTitle,Data Export,Data Export,Data Export,データのエクスポート,资料汇出,資料匯出,데이터 내보내기,Xuất dữ liệu
helpSettingTitle,Contact us,Contact us,Contact us,お問い合わせ,联系我们,聯繫我們,문의하기,Liên hệ chúng tôi
aboutAppSettingTitle,About application,About application,About application,アプリケーションについて,关于申请,關於申請,신청에 대해,Về ứng dụng
deleteAllSettingTitle,Delete All Data,Delete All Data,Delete All Data,すべてのデータを削除する,删除所有数据,刪除所有數據,모든 데이터 삭제,Xóa toàn bộ dữ liệu
startDateSettingTitle,Anniversary day,Anniversary day,Anniversary day,記念日,纪念日,紀念日,기념일,Ngày kỷ niệm
apperanceSettingTitle,Appearance,Appearance,Appearance,外観,外貌,外貌,외관,Giao diện
anniversaryHeaderSettingTitle,Anniversary,Anniversary,Anniversary,記念日,周年纪念日,週年紀念日,기념일,Kỷ niệm
backgroundImageSettingTitle,Background Image,Background Image,Background Image,背景画像,背景图,背景圖,배경 이미지,Ảnh nền
backgroundImageScreenTitle,Background,Background,Background,バックグラウンド,背景,背景,배경,Ảnh nền
languageChangeConfirmTitle,How to Set Your App Language,How to Set Your App Language,How to Set Your App Language,アプリの言語を設定する方法,如何设定您的应用程式语言,如何設定您的應用程式語言,앱 언어를 설정하는 방법,Cài đặt ngôn ngữ ứng dụng của bạn
